id,first_name,last_name,email,gender,grade
1,Reggie Margerrison,Margerrison,rmargerrison0@live.com,Female,5.3
2,Jody Cossor,Cossor,jcossor1@seattletimes.com,Female,1.2
3,Anneliese Scrivner,Scrivner,ascrivner2@flavors.me,Female,6.5
4,Kippy Fishburn,Fishburn,kfishburn3@microsoft.com,Female,6.1
5,Fritz Vasilmanov,Vasilmanov,fvasilmanov4@discovery.com,Non-binary,8.2
6,Raviv Lohan,Lohan,rlohan5@reverbnation.com,Male,9.6
7,Annetta Slorach,Slorach,aslorach6@cocolog-nifty.com,Agender,8.1
8,Shanna Whitewood,Whitewood,swhitewood7@constantcontact.com,Female,8.4
9,Monika Sharvill,Sharvill,msharvill8@cbslocal.com,Bigender,1.3
10,Shaylah Grisenthwaite,Grisenthwaite,sgrisenthwaite9@cdc.gov,Female,9.6
11,Tandy O'Driscole,O'Driscole,todriscolea@harvard.edu,Female,9.9
12,Jude Cormode,Cormode,jcormodeb@wisc.edu,Male,4.8
13,Christen Hubbert,Hubbert,chubbertc@illinois.edu,Female,5.2
14,Desmund Lauks,Lauks,dlauksd@sciencedaily.com,Male,9.2
15,Britt Obray,Obray,bobraye@cdbaby.com,Female,8.4
16,Selby Vankin,Vankin,svankinf@is.gd,Male,4
17,Sax Tingley,Tingley,stingleyg@wsj.com,Male,7.6
18,Roddy Ormesher,Ormesher,rormesherh@google.co.uk,Genderfluid,5.2
19,Sophronia Bedbury,Bedbury,sbedburyi@mediafire.com,Female,2.1
20,Gregorius Grewer,Grewer,ggrewerj@imgur.com,Male,8.2
21,Colet Peoples,Peoples,cpeoplesk@netvibes.com,Male,6.2
22,Cathi Lavender,Lavender,clavenderl@clickbank.net,Female,8.3
23,Riccardo Clark,Clark,rclarkm@indiegogo.com,Male,2.5
24,Ethelred Kowalski,Kowalski,ekowalskin@wisc.edu,Male,5.3
25,Ashlin Marsden,Marsden,amarsdeno@tumblr.com,Male,9.2
26,Leonerd Ewbanck,Ewbanck,lewbanckp@flavors.me,Male,7.1
27,Yance Servante,Servante,yservanteq@seesaa.net,Male,7.2
28,Vito Lysaght,Lysaght,vlysaghtr@twitter.com,Male,2.4
29,Colin Ebertz,Ebertz,cebertzs@qq.com,Male,9.2
30,Addia Burhouse,Burhouse,aburhouset@mysql.com,Female,6.1
